# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

WHM Name,WH Name,WH ID,Address,District,State,Capacity(in MT),Registration Date,Registration Valid Upto,Contact No.,Status,Remarks
B R GRAINS PVT LTD,B R GRAINS PVT LTD,7121767,"DHANIAKHALI CHINSURA ROAD, GOTU BAZAR,",Hooghly,West Bengal,2154,31-Jul-2025,30-Jul-2030,9830010650,Inactive,INSUFFICIENT INSURANCE
Central Warehousing Corporation,Central Warehouse Sarul,4271667,"VILL - URA, PO-PURBA BARDHAMAN,",Purba Bardhaman,West Bengal,28620,21-Feb-2024,05-Apr-2029,9868924092,Active,
Central Warehousing Corporation,RWC Dankuni,6722888,"Railside warehousing complex, Near GSS Office, Dankuni, Hooghly",Hooghly,West Bengal,9421,29-May-2023,28-May-2028,9868924092,Active,
Central Warehousing Corporation,Central Warehouse Taratala Road,7152366,"02, Taratala Road,, Kolkata",Kolkata,West Bengal,341,24-Sep-2025,23-Sep-2030,9868924092,Active,
Central Warehousing Corporation,Central Warehouse Bonhooghly,7019078,"Rehabilitation Industrial Complex/Estate, Bonhooghly",Kolkata,West Bengal,31110,08-Feb-2025,07-Feb-2030,9868924092,Active,
Central Warehousing Corporation,Central Warehouse Panchpara,5291642,"SATYEN BOSE ROAD, PO-RADHADASI, CHUNA VATI,",Howrah,West Bengal,18120,13-Nov-2024,12-Nov-2029,9868924092,Active,
Central Warehousing Corporation,Central Warehouse Goara,6964985,"Central Warehouse Goara, PO: Boinchigram, Distt. - Hooghly",Hooghly,West Bengal,5000,01-Aug-2024,31-Jul-2029,9868924092,Active,
Central Warehousing Corporation,CENTRAL WAREHOUSE BISHNUPUR,7045719,"JAMUNABANDH COLONY, BISHNUPUR, BANKURA",Bankura,West Bengal,16000,21-Mar-2025,20-Mar-2030,9868924092,Active,
Central Warehousing Corporation,Central Warehouse Haldia,7034465,"Near Port main Gate, Chiranjibpur,, Haldia Dock Complex",Purba Medinipur,West Bengal,15000,07-Mar-2025,06-Mar-2030,9868924092,Active,
Central Warehousing Corporation,Central Warehouse Mogra,7184948,"Paltanpara (Military Camp), PO: Digsui,, Mogra, Dist-Hooghly",Hooghly,West Bengal,6500,30-Dec-2025,29-Dec-2030,9868924092,Active,
Central Warehousing Corporation,Central Warehouse Uluberia,4631645,"INDUSTRIAL GROWTH CENTRE, PO - BIRSHIBPUR, PS- ULUBERIA",Howrah,West Bengal,37590,30-Mar-2024,14-Apr-2029,9868924092,Active,
Central Warehousing Corporation,Central Warehouse Sargachi,4575110,"Vill. Mankara, PO: Balarampur Colony, Murshidabad",Murshidabad,West Bengal,19592,15-Jul-2026,15-Jul-2031,9868924092,Active,
Central Warehousing Corporation,CENTRAL WAREHOUSE DURGACHAK,7014574,"NEAR DURGACHAK POLICE STATION, P.O. DURGACHAK",Purba Medinipur,West Bengal,32400,31-Jan-2025,30-Jan-2030,9868924092,Active,
Central Warehousing Corporation,Central Warehouse Belda,4631651,"VILL - GAZNA, PO - BELDA,",Paschim Medinipur,West Bengal,4100,13-Nov-2024,12-Nov-2029,9868924092,Active,
Central Warehousing Corporation,Central Warehouse Import & Export,4851689,"CIRCULAR GARDEN REACH DIVERSION ROAD,",Kolkata,West Bengal,13585,24-Feb-2024,22-Apr-2029,9868924092,Active,
